,Tweet,Sentiment
1,Layin n bed with a headache  ughhhh...waitin on your call...,negative
2,Funeral ceremony...gloomy friday...,negative
3,wants to hang out with friends SOON!,positive
4," We want to trade with someone who has Houston tickets, but no one will.",neutral
5,Re-pinging : why didn`t you go to prom? BC my bf didn`t like my friends,negative
7,Hmmm. http://www.djhero.com/ is down,negative
8, Charlene my love. I miss you,negative
9, I`m sorry  at least it`s Friday?,negative
10,cant fall asleep,neutral
11,Choked on her retainers,negative
12,Ugh! I have to beat this stupid song to get to the next  rude!,negative
13, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,negative
14,Got the news,neutral
16, agreed,neutral
17,So sleepy again and it`s not even that late. I fail once again.,negative
18, lady gaga tweeted about not being impressed by her video leaking just so you know,negative
19,How are YOU convinced that I have always wanted you? What signals did I give off...**** I think I just lost another friend,negative
20, oh too bad! I hope it gets better. I`ve been having sleep issues lately too,neutral
21,"Wondering why I`m awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh **** it,not secret anymore",neutral
23,I ate Something I don`t know what it is... Why do I keep Telling things about food,neutral
25,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......**** i feel old,negative
26,"  i`m sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",negative
27,Damm servers still down  i need to hit 80 before all the koxpers pass me,negative
28,Fudge.... Just BS`d that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,negative
29,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,negative
30,It is so annoying when she starts typing on her computer in the middle of the night!,negative
31,_123 i cant sleep,negative
32,I missed the bl***y bus!!!!!!!!,negative
33,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral
34,SoCal!  stoked. or maybe not.. tomorrow,neutral
36,_radio yeah :S i feel all funny cause i haven`t slept enough  i woke my mum up cause i was singing she`s not impressed :S you?,negative
37,I need skott right now,neutral
38,has work this afternoon,neutral
40,mmm much better day... so far! it`s still quite early. last day of #uds,positive
41, <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,positive
42,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,negative
45,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don`t feel very well right now",negative
46," Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",positive
47,I`m having a problem with my photo here in twitter amf!!!...can`t see my face!,negative
48,", oh noooo!  if i blow a tire you`re reaaaally going to have to send up some batman smoke.",neutral
49,wnna take a bath!!!!,neutral
50,Chocolate milk is so much better through a straw. I lack said straw,positive
51,why am i so tired?,negative
53," time diff and i`ve just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",neutral
54,  no way! **** that sucks B!  are you ok?,negative
55,sucks not being able to take days off of work or have the money to take the trip  so sad,negative
56,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",positive
58, But I got dibs on Sulu...,neutral
60, at once haha.  poor aby still gets sore!,negative
61,diesel yaris... 70mpg  so sad its not available in the US. That`d be awesome.,neutral
62,I want to buy this great album but unfortunately i dont hav enuff funds  its 'long time noisy',negative
63,  in all honesty...pain   blech.,neutral
64,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative
65,At home alone with not much to do,neutral
