,Sentiment,Tweet
0,negative,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
1,negative,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
2,negative,my whole body feels itchy and like its on fire 
3,negative,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
4,negative,@Kwesidei not the whole crew 
5,negative,Need a hug 
6,negative,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
7,negative,@Tatiana_K nope they didn't have it 
8,negative,@twittera que me muera ? 
9,negative,spring break in plain city... it's snowing 
10,negative,I just re-pierced my ears 
11,negative,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
12,negative,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
13,negative,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
14,negative,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
15,negative,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
16,negative,about to file taxes 
17,negative,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
18,negative,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
19,negative,@alydesigns i was out most of the day so didn't get much done 
20,negative,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
21,negative,@angry_barista I baked you a cake but I ated it 
22,negative,this week is not going as i had hoped 
23,negative,blagh class at 8 tomorrow 
24,negative,I hate when I have to call and wake people up 
25,negative,Just going to cry myself to sleep after watching Marley and Me.  
26,negative,im sad now  Miss.Lilly
27,negative,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
28,negative,Meh... Almost Lover is the exception... this track gets me depressed every time. 
29,negative,some1 hacked my account on aim  now i have to make a new one
30,negative,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
31,negative,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
32,negative,@julieebaby awe i love you too!!!! 1 am here  i miss you
33,negative,@HumpNinja I cry my asian eyes to sleep at night 
34,negative,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
35,negative,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
36,negative,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
37,negative,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
38,negative,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
